reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
9414d601-575e-4995-a540-a98de07b88aa,Ken Morrison,https://play-lh.googleusercontent.com/a/ACg8ocKgJ0hiRdhG3T6qPo5A2J3b5SY4OjmRtFmYe0L4emtO1Uy2Kg=mo,"Why do you need my DOB, just ask my age. This app wants way too much personal info to use. My smartphone already has this info.",1,0,,2025-02-11 08:25:13,"Hi Ken,

We understand your concern. We don’t pull data from your phone—your DOB helps us set accurate heart rate zones for optimal training when using a wearable. This ensures a personalized and effective fitness experience. Let us know if you have any other questions!",2025-03-19 10:51:24,
7957f6c9-9276-4b51-acd5-890b0c511d1d,Andi Lim,https://play-lh.googleusercontent.com/a/ACg8ocKfEfLOv7jPq2DiiLfn3uSC9F2YHIBv6ocJs6X3Lum_K2B0mpA=mo,"Unnecessary to ask for my fitness goals, dob and other personal info. Trash.",1,0,14.20.0,2025-02-05 16:57:41,"Hi Andi,

We ask for fitness goals and DOB to personalize your experience, including setting accurate heart rate zones for training. We take privacy seriously and only request info that helps improve your fitness journey. If you have concerns, we're happy to help!",2025-03-19 10:52:24,14.20.0
479a6694-af1e-44f9-a543-ed6dc29a58ac,Judy Russell,https://play-lh.googleusercontent.com/a-/ALV-UjVncO4Y1Buj4jPzPNaj8n8eQ9jO9f36voFuF1d104zYB9Vm9Mq3,Too hard to figure out how to use,1,0,14.20.0,2025-02-05 03:35:32,,,14.20.0
821267e3-d158-41c6-bed1-f9847a171636,Rhonda Romie,https://play-lh.googleusercontent.com/a/ACg8ocJhJRtcMmSJS7FoMQKw6Q5QC6DHLA_AkZq1TsyjG91p5eeShw=mo,Just started with the app so far so 👍,5,0,,2025-02-03 21:39:57,,,
f01186aa-750e-4402-9632-c8f14cf4f486,Melanie Sandler,https://play-lh.googleusercontent.com/a/ACg8ocLd-lQkb8zV7XOcYXF6jTTr0WvSsDunVLK0aNDW8Pbks6_hDw=mo,Just downloaded app and cannot even enter my name to start. When pressing enter it deleted the name and couldn't proceed.,1,0,,2025-02-03 16:03:11,"Hi Melanie,

This has been addressed in the latest release. Please try again.",2025-03-19 10:54:01,
c1dfd56c-fd20-46ed-828c-2ed96e2662ca,David Brandt,https://play-lh.googleusercontent.com/a/ACg8ocJg_xRpqp4u6EAIL8qAW8xta5ld4n2NDulL2qIKDjwEDAj4qw=mo,awful to sign up.,1,0,14.20.0,2025-02-03 10:29:40,,,14.20.0
c12500d4-5fab-43f3-b6fe-ab33db3e80bc,Karen Nakagawa,https://play-lh.googleusercontent.com/a/ACg8ocI5f-DbhG029PCRgqyCpyYMRcd5uRyc0zs9-nWfwsp5iYqBxg=mo,took a little time to learn the app but now love it.,5,0,14.20.0,2025-01-31 19:52:06,,,14.20.0
0a63c8e0-5463-43e6-9198-53a444b96056,Barbara,https://play-lh.googleusercontent.com/a-/ALV-UjWnm_9I9clOVsHEcftHH5Ij0WalnePye4KxMoTMgBV9ZC5XGY3VAw,This is awful Need lessons on how to use this app or at least Someone to ask questions! How do you sign up for a gym membership??,1,0,,2025-01-28 13:24:46,"Hi Barbara,

To sign up for a gym you must first identify the gym via the gym locator in the app itself. Once you have identified a fitness location that works for you, you must go into the gym directly to sign up or sign up on their website (if available).",2025-03-19 10:56:04,
98fab45f-abde-4c61-97a3-fa46e559825c,Amy McConnell,https://play-lh.googleusercontent.com/a-/ALV-UjV60Tj1jvTzBHtRo07apE6vvt-4O9kSE9L-KmdOdVjBRCWjauljIA,"App won't load, when it does it won't stay open it let me get past the name and info screen",1,0,,2025-01-28 10:54:03,,,
0375cf63-ab35-4c96-9290-48016a2f80fd,Tom Borg,https://play-lh.googleusercontent.com/a-/ALV-UjVyg_i08-PKyeg258ygwDBPeffG1Ch5ICHfQ6aTplenR-I_Azw,This app is a real bummer after having Silver Fit!!!,3,0,14.20.0,2025-01-26 19:56:38,,,14.20.0
